event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
*,631037,0,0,0,0,0,0,0,0,0,0,
A,766152,1,0,80000008,80003072,0,0,0,0,0,0,
M,2395208,1,1,80000008,80003072,327680,0,327680,0,0,0,
M,2746967,1,2,80000008,80003072,655360,0,655360,0,0,0,
M,3051091,1,3,80000008,80003072,983040,0,983040,0,0,0,
M,3342804,1,4,80000008,80003072,1310720,0,1310720,0,0,0,
M,3534905,1,5,80000008,80003072,1638400,0,1638400,0,0,0,
M,3749748,1,6,80000008,80003072,1966080,0,1966080,0,0,0,
M,4106945,1,7,80000008,80003072,2293760,0,2293760,0,0,0,
M,4293590,1,8,80000008,80003072,2621440,0,2621440,0,0,0,
M,4506870,1,9,80000008,80003072,2949120,0,2949120,0,0,0,
M,4703912,1,10,80000008,80003072,3276800,0,3276800,0,0,0,
M,4920081,1,11,80000008,80003072,3604480,0,3604480,0,0,0,
M,5147020,1,12,80000008,80003072,3932160,0,3932160,0,0,0,
M,5377280,1,13,80000008,80003072,4259840,0,4259840,0,0,0,
M,5605378,1,14,80000008,80003072,4587520,0,4587520,0,0,0,
M,5827881,1,15,80000008,80003072,4915200,0,4915200,0,0,0,
M,6027668,1,16,80000008,80003072,5242880,0,5242880,0,0,0,
M,6229442,1,17,80000008,80003072,5570560,0,5570560,0,0,0,
M,6412068,1,18,80000008,80003072,5898240,0,5898240,0,0,0,
M,6579935,1,19,80000008,80003072,6225920,0,6225920,0,0,0,
M,6684421,1,20,80000008,80003072,6553600,0,6553600,0,0,0,
M,6803336,1,21,80000008,80003072,6881280,0,6881280,0,0,0,
M,6928371,1,22,80000008,80003072,7208960,0,7208960,0,0,0,
M,7051197,1,23,80000008,80003072,7536640,0,7536640,0,0,0,
M,7170468,1,24,80000008,80003072,7864320,0,7864320,0,0,0,
M,7305460,1,25,80000008,80003072,8192000,0,8192000,0,0,0,
M,7429276,1,26,80000008,80003072,8519680,0,8519680,0,0,0,
M,7550562,1,27,80000008,80003072,8847360,0,8847360,0,0,0,
M,7663980,1,28,80000008,80003072,9175040,0,9175040,0,0,0,
M,7781533,1,29,80000008,80003072,9502720,0,9502720,0,0,0,
M,7895674,1,30,80000008,80003072,9830400,0,9830400,0,0,0,
M,8019058,1,31,80000008,80003072,10158080,0,10158080,0,0,0,
M,8138256,1,32,80000008,80003072,10485760,0,10485760,0,0,0,
M,8270078,1,33,80000008,80003072,10813440,0,10813440,0,0,0,
M,8406026,1,34,80000008,80003072,11141120,0,11141120,0,0,0,
M,8524502,1,35,80000008,80003072,11468800,0,11468800,0,0,0,
M,8645361,1,36,80000008,80003072,11796480,0,11796480,0,0,0,
M,8761407,1,37,80000008,80003072,12124160,0,12124160,0,0,0,
M,8870585,1,38,80000008,80003072,12451840,0,12451840,0,0,0,
M,8986982,1,39,80000008,80003072,12779520,0,12779520,0,0,0,
M,9100590,1,40,80000008,80003072,13107200,0,13107200,0,0,0,
M,9231285,1,41,80000008,80003072,13434880,0,13434880,0,0,0,
M,9339362,1,42,80000008,80003072,13762560,0,13762560,0,0,0,
M,9461117,1,43,80000008,80003072,14090240,0,14090240,0,0,0,
M,9591107,1,44,80000008,80003072,14417920,0,14417920,0,0,0,
M,9723640,1,45,80000008,80003072,14745600,0,14745600,0,0,0,
M,9848470,1,46,80000008,80003072,15073280,0,15073280,0,0,0,
M,9966219,1,47,80000008,80003072,15400960,0,15400960,0,0,0,
M,10084487,1,48,80000008,80003072,15728640,0,15728640,0,0,0,
M,10212036,1,49,80000008,80003072,16056320,0,16056320,0,0,0,
M,10333667,1,50,80000008,80003072,16384000,0,16384000,0,0,0,
M,10450194,1,51,80000008,80003072,16711680,0,16711680,0,0,0,
M,10574457,1,52,80000008,80003072,17039360,0,17039360,0,0,0,
M,10708976,1,53,80000008,80003072,17367040,0,17367040,0,0,0,
M,10804270,1,54,80000008,80003072,17694720,0,17694720,0,0,0,
M,11141934,1,55,80000008,80003072,18022400,0,18022400,0,0,0,
M,11244837,1,56,80000008,80003072,18350080,0,18350080,0,0,0,
M,11389795,1,57,80000008,80003072,18677760,0,18677760,0,0,0,
M,11523424,1,58,80000008,80003072,19005440,0,19005440,0,0,0,
M,11650388,1,59,80000008,80003072,19333120,0,19333120,0,0,0,
M,11787840,1,60,80000008,80003072,19660800,0,19660800,0,0,0,
M,11926484,1,61,80000008,80003072,19988480,0,19988480,0,0,0,
M,12182286,1,62,80000008,80003072,20316160,0,20316160,0,0,0,
M,12322280,1,63,80000008,80003072,20643840,0,20643840,0,0,0,
M,12409129,1,64,80000008,80003072,20971520,0,20971520,0,0,0,
S,12463867,1,64,80000008,80003072,20971520,0,20971520,0,0,0,
D,13736543,1,63,80000008,80003072,20643840,327680,20643840,327680,0,0,
D,13754985,1,62,80000008,80003072,20316160,655360,20316160,655360,0,0,
D,13799048,1,61,80000008,80003072,19988480,983040,19988480,983040,0,0,
D,13800261,1,60,80000008,80003072,19660800,1310720,19660800,1310720,0,0,
D,13898530,1,59,80000008,80003072,19333120,1638400,19333120,1638400,0,0,
D,13959153,1,58,80000008,80003072,19005440,1966080,19005440,1966080,0,0,
D,14018916,1,57,80000008,80003072,18677760,2293760,18677760,2293760,0,0,
D,14061571,1,56,80000008,80003072,18350080,2621440,18350080,2621440,0,0,
D,14773785,1,55,80000008,80003072,18022400,2949120,18022400,2949120,0,0,
D,14875704,1,54,80000008,80003072,17694720,3276800,17694720,3276800,0,0,
D,15017587,1,53,80000008,80003072,17367040,3604480,17367040,3604480,0,0,
D,15027718,1,52,80000008,80003072,17039360,3932160,17039360,3932160,0,0,
D,15120629,1,51,80000008,80003072,16711680,4259840,16711680,4259840,0,0,
D,15159169,1,50,80000008,80003072,16384000,4587520,16384000,4587520,0,0,
D,15294200,1,49,80000008,80003072,16056320,4915200,16056320,4915200,0,0,
D,15544773,1,48,80000008,80003072,15728640,5242880,15728640,5242880,0,0,
D,15553262,1,47,80000008,80003072,15400960,5570560,15400960,5570560,0,0,
D,15855238,1,46,80000008,80003072,15073280,5898240,15073280,5898240,0,0,
D,15943949,1,45,80000008,80003072,14745600,6225920,14745600,6225920,0,0,
D,15960487,1,44,80000008,80003072,14417920,6553600,14417920,6553600,0,0,
D,15988171,1,43,80000008,80003072,14090240,6881280,14090240,6881280,0,0,
D,16009816,1,42,80000008,80003072,13762560,7208960,13762560,7208960,0,0,
D,16013532,1,41,80000008,80003072,13434880,7536640,13434880,7536640,0,0,
D,16026823,1,40,80000008,80003072,13107200,7864320,13107200,7864320,0,0,
D,16077341,1,39,80000008,80003072,12779520,8192000,12779520,8192000,0,0,
D,16090796,1,38,80000008,80003072,12451840,8519680,12451840,8519680,0,0,
D,16976946,1,37,80000008,80003072,12124160,8847360,12124160,8847360,0,0,
